Order ID,Shiprocket Order ID,Created At,Status,SKU,Product Name,Quantity,AWB,Courier,Pickup Status
8400833385-C,1189357549,"17 Feb 2026, 12:59 PM",16,,dvffefefffefe,1,BSRC3575493272,,
8400833385,1189356758,"17 Feb 2026, 12:59 PM",16,,dvffefefffefe,1,BSRC3567583646,,
8705526271-C,1189352976,"17 Feb 2026, 12:57 PM",16,,dvffefefffefe,1,BSRC3529762967,,
8705526271,1189352658,"17 Feb 2026, 12:57 PM",16,,dvffefefffefe,1,BSRC3526583660,,
915304191,1189181100,"17 Feb 2026, 11:21 AM",19,,dwscswd,1,284931134920552,,
7457760524,1189100593,"17 Feb 2026, 10:38 AM",8,,skm vdklfmklv,1,284931134890732,,
4387324623-C,1189100352,"17 Feb 2026, 10:37 AM",8,,skm vdklfmklv,1,284931134890743,,
4387324623,1189099989,"17 Feb 2026, 10:37 AM",8,,skm vdklfmklv,1,284931134890765,,
6786479964-C,1188508779,"16 Feb 2026, 09:11 PM",8,,dcdcfscs,1,,,
6786479964,1188508326,"16 Feb 2026, 09:11 PM",8,,dcdcfscs,1,,,
4382095686,1188337535,"16 Feb 2026, 07:32 PM",8,,wwdfef,1,,,
6786479967-C,1188337117,"16 Feb 2026, 07:32 PM",8,,dcdcfscswdwcedfs,1,,,
6786479967,1188336799,"16 Feb 2026, 07:31 PM",8,,dcdcfscs,1,,,
388636623,1188266460,"16 Feb 2026, 06:37 PM",8,,test,1,284931134821863,,
283625115-C,1188266287,"16 Feb 2026, 06:37 PM",8,,test,1,284931134821874,,
283625115,1188266113,"16 Feb 2026, 06:36 PM",8,,test,1,284931134821885,,
7078181375-C,1188265927,"16 Feb 2026, 06:36 PM",8,,test,1,284931134821896,,
7078181375,1188265719,"16 Feb 2026, 06:36 PM",8,,test,1,284931134821900,,
3734994922,1188193221,"16 Feb 2026, 05:47 PM",16,,test product 2,1,BSRC1932212981,,
8850051757,1188155726,"16 Feb 2026, 05:23 PM",8,,test product,1,284931134821922,,
2314573676,1139822804,"18 Jan 2026, 12:31 AM",10,,LemonBlast Yellow Bubble Tablets – Odor Eliminator + Blockage Remover ( BUY 1 GET 1 FREE ) - Pack Of 24 + 24 Tablets,1,BSRC8228049409,,
2314573576,1139822199,"18 Jan 2026, 12:30 AM",7,,POWERFUL OXALIC ACID SURFACE CLEANER (BUY 1 GET 1 FREE) - Pack of 2 Bottles,1,BSRC8221992135,,
2314573476,1139822063,"18 Jan 2026, 12:30 AM",7,,Natural Beeswax Spray Furniture Polish and Cleaner Spray (BUY 1 GET 3 FREE) - BUY 1 GET 2 FREE,1,BSRC8220634650,,
2314573376,1139821285,"18 Jan 2026, 12:29 AM",10,,Swipey Shine - India’s No.1 All-Purpose Cleaner [ Buy 1 Get 3 Free ] - Pack of 4 Big Bottles,1,BSRC8212857436,,
2314573276,1139806792,"18 Jan 2026, 12:14 AM",7,,POWERFUL OXALIC ACID SURFACE CLEANER (BUY 1 GET 1 FREE) - Pack of 2 Bottles,1,BSRC8067927260,,
2314573176,1139805509,"18 Jan 2026, 12:12 AM",7,,Derma Smooth Skin Tag Removal Patch | Secret to Spotless Skin  - BUY 1 GET 1 FREE,1,BSRC8055098918,,
2314573076,1139800074,"18 Jan 2026, 12:06 AM",7,,Natural Beeswax Spray Furniture Polish and Cleaner Spray (BUY 1 GET 3 FREE) - BUY 1 GET 2 FREE,1,BSRC8000743567,,
2314572976,1139798723,"18 Jan 2026, 12:04 AM",7,,Swipey Shine - India’s No.1 All-Purpose Cleaner [ Buy 1 Get 3 Free ] - Pack of 4 Big Bottles,1,BSRC7987235753,,
2314572876,1139797366,"18 Jan 2026, 12:03 AM",10,,Premium Pond Care Powder | Water Clarifier & Algae Control  ( BUY 1 GET 1 FREE ) - BUY 1 GET 1 FREE,1,BSRC7973665036,,
2314572776,1139796480,"18 Jan 2026, 12:02 AM",10,,POWERFUL OXALIC ACID SURFACE CLEANER (BUY 1 GET 1 FREE) - Pack of 2 Bottles,1,BSRC7964804881,,
